example_idx,entity,true_type,length,context
771,du Saint - Esprit,PER,4,avec une croix du Saint - Esprit .
774,Le Dauphin et,PER,3,Le Dauphin et la Dauphine sont
774,la Dauphine,PER,2,Le Dauphin et la Dauphine sont à côté
779,Plusieurs duchesses,PER,2,Plusieurs duchesses sont assises autour
785,beaucoup de monde,PER,3,il y avait beaucoup de monde .
799,les dames d ' honneur,PER,5,les princesses étaient les dames d ' honneur sur des tabourets
808,Le lendemain,TIME,2,bonnes . « Le lendemain [ Ier février
808,Ier février,TIME,2,"Le lendemain [ Ier février ] , visité"
809,la route,FAC,2,Nous fîmes la route dans le parc
809,le parc de,FAC,3,la route dans le parc de Versailles que nous
809,Versailles,GPE,1,le parc de Versailles que nous n
810,de belles pièces d ' eau,LOC,6,bosquets délicieux et de belles pièces d ' eau … « Le
811,du roi,PER,2,La chambre du roi est meublée d
812,des Indes,GPE,2,"un beau damas des Indes , le lit"
813,la chambre,FAC,2,« Entre la chambre du Roi et
813,du Roi,PER,2,Entre la chambre du Roi et celle de
817,tout le monde,PER,3,"Paris , presque tout le monde fait son caffé"
819,la ménagerie,FAC,2,Vu la ménagerie … et la
819,la volière,FAC,2,"ménagerie … et la volière … , puis"
825,trois salles de charmille avec des statues de marbre,FAC,9,il y a trois salles de charmille avec des statues de marbre .
826,un grand bassin de marbre,FAC,5,"; on voit un grand bassin de marbre et , comme"
827,"douze petits pavillons quarrés , joints ensemble par des berceaux de feuillage",FAC,12,"il y a douze petits pavillons quarrés , joints ensemble par des berceaux de feuillage , c '"
828,une auberge du village de,FAC,5,"le dîner dans une auberge du village de Marli , nous"
828,Marli,FAC,1,"du village de Marli , nous allâmes"
835,du Saint - Esprit,PER,4,une grande étoile du Saint - Esprit .
837,deux cardinaux en soutanes écarlates avec de grandes doubles croix d ' or,PER,13,"procession , étaient deux cardinaux en soutanes écarlates avec de grandes doubles croix d ' or ."
838,d ' autres ecclésiastiques vêtus de violet avec des surplis de dentelles,PER,12,Après eux venaient d ' autres ecclésiastiques vêtus de violet avec des surplis de dentelles .
839,l ' abbé Terrai,PER,4,"remarquâmes entre autres l ' abbé Terrai , le contrôleur"
842,"le comte d ' Artois , petit - fils cadet",PER,10,"procession , viennent le comte d ' Artois , petit - fils cadet du Roi ,"
842,"du Roi ,",PER,3,"- fils cadet du Roi , le comte de"
842,le comte de Provence et,PER,5,"du Roi , le comte de Provence et le Dauphin ."
842,le Dauphin,PER,2,de Provence et le Dauphin .
845,les appartemens,FAC,2,pour aller voir les appartemens du Roi .
845,du Roi,PER,2,voir les appartemens du Roi .
849,l ' empereur et de l ' impératrice - reine,PER,10,"les portraits de l ' empereur et de l ' impératrice - reine , ses parens"
851,Sèvres,GPE,1,"superbes porcelaines de Sèvres , cela est"
852,du comte d ' Artois,PER,5,' abord celui du comte d ' Artois .
856,du comte,PER,2,« Au dîner du comte et de la
856,la comtesse,PER,2,"comte et de la comtesse de Provence ,"
859,Mesdames sœurs,PER,2,passâmes ensuite chez Mesdames sœurs du Dauphin .
859,du Dauphin,PER,2,chez Mesdames sœurs du Dauphin . Mme Adélaïde
864,Leur gouvernante,PER,2,"elles deux . Leur gouvernante , Mme la"
866,du Roi de,PER,3,"ce beau séjour du Roi de France , nous"
866,France,GPE,1,"du Roi de France , nous fûmes"
866,les escaliers du château,FAC,4,"' aumône dans les escaliers du château , cela nous"
869,la place d ' armes,FAC,5,En passant sur la place d ' armes nous rencontrâmes Mme
869,Mme de Montmorenci et Mme de Rose,PER,7,son carrosse avec Mme de Montmorenci et Mme de Rose .
871,Son carrosse,VEH,2,Son carrosse est des plus
872,Ses laquais,PER,2,Ses laquais sont en bleu
874,le Dauphin et,PER,3,mais par contre le Dauphin et la Dauphine sont
874,la Dauphine,PER,2,le Dauphin et la Dauphine sont chéris de
875,huit heures,TIME,2,à Paris à huit heures du soir .
875,du soir,TIME,2,à huit heures du soir .
879,monuments,FAC,1,sages descriptions de monuments dont nous passerons
882,la soirée,TIME,2,où je passais la soirée .
883,un ciel nuageux,LOC,3,"grisâtre que formait un ciel nuageux , à peine"
885,des vivants,PER,2,admirer la danse des vivants !
887,les plus jolies femmes de Paris,PER,6,"agitaient et papillonnaient les plus jolies femmes de Paris , les plus"
887,"les mieux titrées , éclatantes , pompeuses , éblouissantes de diamants",PER,11,"plus riches , les mieux titrées , éclatantes , pompeuses , éblouissantes de diamants !"
892,cette foule enivrée,PER,3,d ’ étourdir cette foule enivrée par tout ce
892,le monde,LOC,2,tout ce que le monde peut offrir de
893,les hommes en joie,PER,4,"; là , les hommes en joie ."
894,la ville la plus amusante du monde et la plus philosophique,GPE,11,", rendent Paris la ville la plus amusante du monde et la plus philosophique , je faisais"
901,monsieur de Nucingen ou monsieur de Gondreville,PER,7,que le sont monsieur de Nucingen ou monsieur de Gondreville ?
907,Personne,PER,1,Personne ne savait de
911,quelque Casbah,FAC,2,"- il dévalisé quelque Casbah , j ’"
913,la fille du sultan,PER,4,Comme la fille du sultan dans le conte
914,des Fodor,PER,2,"des Sontag , des Fodor , chez lesquelles"
923,ces puissantes sirènes,PER,3,"Aimer ces puissantes sirènes , n ’"
925,Filippo,PER,1,"de Lanty . Filippo , frère de"
931,un profond politique,PER,3,"’ ailleurs pour un profond politique , peut -"
931,monsieur de Metternich ou Wellington,PER,5,et citait toujours monsieur de Metternich ou Wellington .
932,chaque personne du beau monde,PER,5,manière différente par chaque personne du beau monde : un chant
933,monsieur et,PER,2,La réserve que monsieur et madame de Lanty
933,madame de Lanty,PER,3,que monsieur et madame de Lanty gardaient sur leur
933,les quatre parties du monde,LOC,5,leurs relations avec les quatre parties du monde n ’ eût
946,aux gens de,PER,3,’ exagération naturelle aux gens de la haute société
946,la haute société,PER,3,aux gens de la haute société fit naître et
947,une espèce de Faust ou de Robin des bois,PER,9,"homme artificiel , une espèce de Faust ou de Robin des bois , il participait"
947,des gens,PER,2,", au dire des gens amis du fantastique"
947,amis du fantastique,PER,3,"dire des gens amis du fantastique , de toutes"
949,ces jeunes hommes,PER,3,". Plusieurs de ces jeunes hommes , habitués à"
949,tous les matins,TIME,3,"à décider , tous les matins , l ’"
949,quelque grand criminel,PER,3,"l ’ inconnu quelque grand criminel , possesseur d"
949,possesseur d ’ immenses richesses,PER,5,"grand criminel , possesseur d ’ immenses richesses ."
955,ce vieillard,PER,2,"spécieuses , que ce vieillard , mis sous"
959,les membres de,PER,3,"de circonstances , les membres de cette famille justifiaient"
959,cette famille,PER,2,les membres de cette famille justifiaient les conjectures
959,du monde,LOC,2,"justifiaient les conjectures du monde , en tenant"
961,"Filippo ,",PER,2,"haute importance . Filippo , Marianina , madame"
961,"Marianina ,",PER,2,". Filippo , Marianina , madame de Lanty"
961,madame de Lanty et un vieux domestique,PER,7,", Marianina , madame de Lanty et un vieux domestique avaient seuls le"
964,au fond d ’ un sanctuaire inconnu,LOC,7,"des mois entiers au fond d ’ un sanctuaire inconnu , ce génie"
964,ce génie familier,PER,3,"sanctuaire inconnu , ce génie familier en sortait tout"
964,au milieu des salons,LOC,4,", et apparaissait au milieu des salons comme ces fées"
964,ces fées d ’ autrefois,PER,5,des salons comme ces fées d ’ autrefois qui descendaient de
966,un quadrille,PER,2,"en dansant dans un quadrille , la trop"
971,tous les membres de,PER,4,la circonspection de tous les membres de cette famille rendit
971,cette famille,PER,2,"les membres de cette famille rendit vaines ,"
971,personne,PER,1,"rendit vaines , personne ne chercha -"
972,"Les espions de bonne compagnie , les gobe - mouches et les politiques",PER,13,"Les espions de bonne compagnie , les gobe - mouches et les politiques avaient fini ,"
973,philosophes,PER,1,"salons resplendissants des philosophes qui , tout"
980,l ’ Esprit,PER,3,’ avons aperçu l ’ Esprit .
982,au moment,TIME,2,’ en allèrent au moment où je résumais
984,temps,TIME,1,sais combien de temps je méditai sur
986,la nature,LOC,2,"rares caprices de la nature , la pensée"
986,Minerve de la tête de Jupiter,PER,6,"avait jailli comme Minerve de la tête de Jupiter , grande et"
987,une haie de gens attentifs à la voix de,PER,9,"adroitement coulé derrière une haie de gens attentifs à la voix de Marianina , qui"
990,au milieu du monde,LOC,4,il se trouvait au milieu du monde sans voir le
990,le monde,LOC,2,monde sans voir le monde .
991,une des plus ravissantes femmes de,PER,6,"auprès d ’ une des plus ravissantes femmes de Paris , danseuse"
991,Paris,GPE,1,"ravissantes femmes de Paris , danseuse élégante"
991,du soleil,LOC,2,comme les rayons du soleil traversent une glace
997,un paralytique,PER,2,gestes d ’ un paralytique .
999,un puits,FAC,2,en tombant dans un puits .
1006,ses membres,PER,2,"la délicatesse de ses membres , prouvaient que"
1008,ce corps étrange,PER,3,servaient à soutenir ce corps étrange .
1009,une tombe,FAC,2,en croix sur une tombe .
1012,Angleterre,GPE,1,"dentelle d ’ Angleterre assez roux ,"
1013,le soleil,LOC,2,incalculable scintillait comme le soleil .
1020,au spectre survenu devant nous,PER,5,"une création artificielle au spectre survenu devant nous , était le"
1025,une statue,PER,2,"autant qu ’ une statue , elle exhalait"
1029,le monde,LOC,2,"assez souvent dans le monde , me dis"
1033,le phénomène,PER,2,la main sur le phénomène avec cette hardiesse
1036,"Marianina ,",PER,2,"ce bruit , Marianina , Filippo et madame"
1036,Filippo et,PER,2,", Marianina , Filippo et madame de Lanty"
1040,au fond des appartements de réception,LOC,6,"Parvenus au fond des appartements de réception , nous entrâmes"
1046,un spectre,PER,2,petit vieillard pour un spectre . — Taisez
1052,au milieu,LOC,2,"La lampe suspendue au milieu du boudoir ,"
1055,Il,PER,1,— Il est trop beau
1062,un parent de,PER,3,… un … un parent de madame de Lanty
1062,madame de Lanty,PER,3,un parent de madame de Lanty .
1066,le spectre habillé,PER,3,"filiale sollicitude , le spectre habillé qui nous avait"
1068,génie familier,PER,2,", espèce de génie familier ."
1072,Le vieillard,PER,2,"Le vieillard , frappé subitement"
1076,son danseur,PER,2,elle courut à son danseur avec l ’
1079,Vous,PER,1,je ? — Vous !
1080,l ’ Italie ou de l ’ Espagne,GPE,8,passionnée digne de l ’ Italie ou de l ’ Espagne … Elle vit
1081,moi,PER,1,ne sois pas moi .
1083,les ravissantes femmes du Midi,PER,5,nos cœurs par les ravissantes femmes du Midi ?
1095,ces soirées délicieuses à l ’ âme,TIME,7,"était une de ces soirées délicieuses à l ’ âme , un de"
1095,ces heures passées dans la paix et le désir,TIME,9,", une de ces heures passées dans la paix et le désir , et dont"
1100,J ’,PER,2,Parlez . — J ’ obéis . «
1102,ses vieux jours,TIME,3,"voir , dans ses vieux jours , le petit"
1102,au pays de Saint - Dié,LOC,6,"Sarrasine , laboureur au pays de Saint - Dié , s ’"
1107,un camarade et lui,PER,4,"’ élevait entre un camarade et lui , rarement le"
1111,"le maître de mathématiques , le préfet , les valets , le correcteur",PER,13,"Thucydide , croquait le maître de mathématiques , le préfet , les valets , le correcteur , et barbouillait"
1114,les personnages des tableaux,PER,4,’ il copiât les personnages des tableaux qui garnissaient le
1114,le chœur,FAC,2,"tableaux qui garnissaient le chœur , soit qu"
1115,du collége,ORG,2,"croire la chronique du collége , il fut"
1115,Christ,PER,1,en forme de Christ .
1117,du tabernacle,FAC,2,sur le haut du tabernacle cette figure passablement
1119,l ’ atelier de Bouchardon,FAC,5,et entra dans l ’ atelier de Bouchardon .
1125,le premier moment d ’ extase,TIME,6,Dans le premier moment d ’ extase où le plongea
1125,le praticien,PER,2,"vanité flattée , le praticien avare mit son"
1125,le monde,LOC,2,avec avantage dans le monde .
1129,cette âme passionnée,PER,3,", auprès de cette âme passionnée , la douceur"
1130,l ’ âge de vingt - deux ans,TIME,8,"« À l ’ âge de vingt - deux ans , Sarrasine fut"
1131,le frère de madame de Pompadour,PER,6,"de Marigny , le frère de madame de Pompadour , qui fit"
1134,sa muse,PER,2,qu ’ avec sa muse .
1137,autre maîtresse,PER,2,pas d ’ autre maîtresse que la Sculpture
1137,Clotilde,PER,1,"la Sculpture et Clotilde , l ’"
1137,l ’ une des célébrités de l ’ Opéra,PER,9,"et Clotilde , l ’ une des célébrités de l ’ Opéra ."
1142,des monuments merveilleux,FAC,3,l ’ aspect des monuments merveilleux dont est semée
1143,Michel - Ange et de,PER,5,les noms de Michel - Ange et de monsieur Bouchardon .
1146,cette affluence,PER,2,"des causes de cette affluence , et le"
1147,la scène,FAC,2,placé près de la scène .
1148,une soirée du baron d ’ Holbach,TIME,7,"délices , pendant une soirée du baron d ’ Holbach ."
1154,le devant,FAC,2,"par coquetterie sur le devant du théâtre ,"
1155,la scène,FAC,2,"’ illusion de la scène , les prestiges"
1157,le juge le plus sévère et le plus passionné,PER,9,"la fois , le juge le plus sévère et le plus passionné ."
1159,des Grecs,PER,2,par le ciseau des Grecs .
1162,cette création inespérée,PER,3,"se trouvait dans cette création inespérée , de l"
1162,un critique,PER,2,dignes de satisfaire un critique .
1172,lui et,PER,2,"de distance entre lui et la Zambinella ,"
1179,les marches d ’ une église,FAC,6,’ asseoir sur les marches d ’ une église .
1180,une colonne,FAC,2,"dos appuyé contre une colonne , il se"
1182,la Zambinella,PER,2,délire en dessinant la Zambinella de mémoire .
1183,"Raphaël , par le Giorgion et par tous les grands peintres",PER,11,", affectionnée par Raphaël , par le Giorgion et par tous les grands peintres ."
1187,mille années de vie et de bonheur,TIME,7,"suppliait , épuisait mille années de vie et de bonheur avec elle ,"
1192,toute une vie,TIME,3,", il vécut toute une vie , occupé le"
1193,sa loge,FAC,2,"bonne heure dans sa loge , seul ,"
1198,Marianina ni,PER,2,vois encore ni Marianina ni son petit vieillard
1200,sa loge,FAC,2,"’ installer dans sa loge , et ses"
1202,les coulisses,FAC,2,de lui dans les coulisses .
1208,sa loge,FAC,2,la porte de sa loge excitèrent l ’
1210,la duègne,PER,2,main ridée de la duègne .
1211,sa loge,FAC,2,"’ échappa de sa loge , après avoir"
1216,Sarrasine et,PER,2,aurait mis entre Sarrasine et la Zambinella les
1221,son maître,PER,2,’ avait vu son maître si minutieux en
1226,"escaliers , de galeries et d ’ appartements",FAC,8,"labyrinthe d ’ escaliers , de galeries et d ’ appartements qui n ’"
1227,au milieu,LOC,2,"somptueusement meublé , au milieu duquel s ’"
1228,les chanteurs et les cantatrices,PER,5,"Il reconnut les chanteurs et les cantatrices du théâtre ,"
1228,du théâtre,FAC,2,"et les cantatrices du théâtre , mêlés à"
1228,artistes,PER,1,orgie d ’ artistes qui n ’
1235,du règne de Louis XV,TIME,5,à talons hauts du règne de Louis XV ont peut -
1243,Vitagliani,PER,1,"? lui dit Vitagliani , le chanteur"
1265,les assemblées de,ORG,3,"ne connaissent que les assemblées de Paris , les"
1266,la sainte Vierge,PER,3,les invocations à la sainte Vierge ou al Bambino
1266,al Bambino,PER,2,sainte Vierge ou al Bambino .
1274,la source de bonheur,PER,4,longue pour épuiser la source de bonheur qu ’ il
1275,"Vitagliani , son voisin",PER,4,"Vitagliani , son voisin , lui versa"
1276,boudoir,FAC,1,une espèce de boudoir qui communiquait au
1291,Au moment,TIME,2,Au moment où les premières
1291,les premières lueurs du matin,TIME,5,Au moment où les premières lueurs du matin surprirent les convives
1312,"un frère , d ’ un protecteur",PER,7,"besoin d ’ un frère , d ’ un protecteur ."
1329,Le théâtre,FAC,2,Le théâtre sur lequel vous
1330,la femme,PER,2,"mêmes yeux , la femme que vous aimez"
1341,la villa Ludovisi,FAC,3,"les bois de la villa Ludovisi , qui appartenait"
1342,cette âme molle,PER,3,la mignardise de cette âme molle et sans énergie
1345,la villa,FAC,2,’ enceinte de la villa du cardinal .
1345,du cardinal,PER,2,de la villa du cardinal .
1351,une femme forte,PER,3,"que je détesterais une femme forte , une Sapho"
1351,une Sapho,PER,2,"femme forte , une Sapho , courageuse ,"
1352,frêle et douce créature,PER,4,Ô frêle et douce créature ! comment peux
1356,l ’ entrée,FAC,3,de vous interdire l ’ entrée du théâtre ;
1363,l ’ un de,PER,4,", il rencontra l ’ un de ses camarades sur"
1363,ses camarades,PER,2,’ un de ses camarades sur le seuil
1364,Mon cher,PER,2,"— Mon cher , lui dit"
1368,"toi , Vien , Lauterbourg et Allegrain",PER,7,"mes amis , toi , Vien , Lauterbourg et Allegrain , vous me"
1369,d ’ honnêtes gens,PER,4,demande rien que d ’ honnêtes gens ne puissent faire
1371,des derniers,PER,2,l ’ un des derniers chez l ’
1371,l ’ un des plus entreprenants vetturini de,PER,8,vigoureux menés par l ’ un des plus entreprenants vetturini de Rome .
1371,Rome,GPE,1,entreprenants vetturini de Rome .
1372,l ’ ambassadeur,PER,3,Le palais de l ’ ambassadeur étant plein de
1372,monde,PER,1,"étant plein de monde , ce ne"
1373,"les cardinaux , les évêques et les abbés",PER,8,"par égard pour les cardinaux , les évêques et les abbés qui sont ici"
1374,Elle,PER,1,— Elle ! Qui elle
1375,La Zambinella,PER,2,— La Zambinella . — La
1375,La Zambinella,PER,2,Zambinella . — La Zambinella ? reprit le
1375,le prince romain,PER,3,Zambinella ? reprit le prince romain .
1380,ce drôle - là,PER,4,"tout payé à ce drôle - là , même son"
1380,son maître à chanter,PER,4,"là , même son maître à chanter ."
1388,un de ses aides - de - camp ecclésiastiques,PER,9,"se pencha vers un de ses aides - de - camp ecclésiastiques , et parut"
1392,C ’,PER,2,— C ’ est une femme
1393,le pape et toute la ville de,PER,7,cardinal Cicognara trompe le pape et toute la ville de Rome !
1393,Rome,GPE,1,la ville de Rome !
1396,homme,PER,1,"salons , en homme qui cherche un"
1397,la porte du palais,FAC,4,"où il franchissait la porte du palais , il fut"
1397,la voiture louée par Sarrasine,VEH,5,le mirent dans la voiture louée par Sarrasine .
1400,un atelier sombre,FAC,3,trouva bientôt dans un atelier sombre et nu .
1406,l ’ artiste,PER,3,s ’ écria l ’ artiste en délire ;
1410,le sculpteur,PER,2,Rire ! répondit le sculpteur d ’ une
1415,Homme ou femme,PER,3,"es rien . Homme ou femme , je te"
1426,une harpie céleste,PER,3,dans le souvenir une harpie céleste qui viendra enfoncer
1426,toutes les autres femmes d ’ un cachet d ’ imperfection,PER,11,et qui signera toutes les autres femmes d ’ un cachet d ’ imperfection !
1439,Girodet,PER,1,"’ Endymion de Girodet , vous avez"
1439,l ’ Adonis,PER,3,le type dans l ’ Adonis .
1455,une terre bien hospitalière,GPE,4,"elle , est une terre bien hospitalière ; il accueille"
1458,Personne,PER,1,Personne ne m ’
1459,la marquise,PER,2,Et la marquise resta pensive .
